Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
44000,209463,123213,25883,30279,41130,15788,18530,72768266,58351,81167,13241,62545757,36418,67577086,15499,50500913,31829,107986825,10831,94046124,44434221
44250,188337,125454,23455,29744,68202,16586,17682,71534570,56430,92706,10712,63390404,33835,69850992,14453,51763961,37210,106950987,9870,94746271,44670731
44500,183013,122915,23416,29452,48297,17042,17924,72065325,56795,83546,10990,64276640,34264,72637156,13581,52201922,28746,108898850,10120,95418238,44913362
44750,181551,127375,23302,28657,42534,16742,16656,78627966,55748,87922,10833,64283355,32956,69909410,15579,52393421,27697,110826068,11958,96067333,45150590
45000,183335,131499,23372,29668,42492,15424,17242,73045198,57908,128379,11168,65758521,35670,69811407,14843,56344710,28255,112436424,10787,98305890,45451258
45250,174515,134674,22915,30666,43297,19745,17082,73655252,58717,201049,10674,66054651,35862,70655679,15055,53673513,28334,109843344,10005,97674664,45744849
45500,167666,145466,22871,29953,50719,16214,17330,74461271,58413,1577309,10883,68848397,36926,72724454,15617,54317780,28531,111052120,11913,98571691,45913772
45750,165544,151131,23340,29991,47921,18879,19065,77078060,54596,98467,10836,67452109,37851,72340433,14510,54529450,32170,111462202,11372,99023856,46189507
46000,169794,176547,23409,30957,45335,15629,19747,76018325,60620,113547,10502,67975634,36794,73561137,14207,54082681,28840,112665433,13961,100346401,46447409
46250,157622,243849,23622,28654,48527,16130,19447,76499667,60134,92301,10992,68039170,35873,75273316,13999,56172081,28134,113320061,11204,101757106,46679666
46500,177585,102965,23959,28829,41537,15668,18208,77854736,225591,90927,64999,69389294,37338,75848537,14259,55011591,27046,116059940,10541,101672521,46994590
46750,190081,118420,24256,32714,36626,16705,18511,82317787,102042,58742,10575,69527078,36545,77460797,15655,55536681,33614,114327960,10041,103306389,47179723
47000,180684,115340,23667,32079,42083,17205,18188,79581578,89249,60832,10726,70106395,35757,79361477,15173,55718654,31638,116489345,10250,102898185,47439609
47250,189660,107054,23260,30253,47754,16129,18002,79022855,86670,66343,10710,72050113,42838,78949470,15207,56344057,28661,115900052,13418,103969951,47716029
47500,190013,110833,26837,29453,50796,16671,18293,79327578,85005,64386,10496,73893748,36039,79455649,14705,60163207,27831,116882741,10462,105197978,48175359
47750,173676,120834,22331,28373,42636,16543,17191,79692124,82790,60289,10590,73859001,35593,81131738,14794,57835670,28157,119748272,10418,105288733,48278087
48000,176721,110335,23369,28367,39964,15957,18292,88466090,78790,63087,10709,74147137,34804,82741955,14161,57617786,27415,117818327,9915,107889510,48509467
48250,181414,110928,23088,28971,47584,16829,19757,85822017,79290,60913,10954,75746055,36363,82628532,14250,57391168,44867,118516008,10419,105368817,48755123
48500,178589,115213,22540,30087,46332,15993,19936,86309272,76668,63070,10880,76747294,38122,82968342,14536,58652157,30085,118934425,9330,104956091,48993260
48750,3668643,116457,22207,29166,45206,16157,20732,86001727,76615,65958,10669,76359487,37332,84831807,14557,58834666,27624,120604752,9876,106019079,49194942
49000,234633,114175,22495,28583,50083,16706,20332,84043715,72512,68077,10991,78515800,36801,88567715,13997,58644619,27957,122665009,10129,106782272,49521955
49250,1958319,129420,22491,29084,49342,19215,44354,87509888,72412,64296,11051,78296368,36090,91379051,14288,59784433,33502,119934759,10789,109758854,49717210
49500,394592,111628,22555,29076,53038,16118,19779,84702444,73749,63336,11045,78669598,37445,88059034,14617,59813522,28604,120180183,10877,108618659,50005415
49750,302128,133756,22707,27870,48624,17159,18326,85204577,73660,59591,11281,80031513,36767,89683045,14460,60512176,27595,120612481,9829,108994828,50426557
50000,224841,128616,22676,30209,56488,15804,17177,86670991,75371,69663,10519,79052817,36091,90615733,13457,62220110,27834,121119078,9702,109595129,50481723
50250,216135,119812,22921,32122,43712,16625,18810,87371964,70749,66911,10555,81287923,36810,90813566,13936,65215398,28003,123969917,9750,110473234,50743612
50500,188463,119879,22752,31293,48905,16668,16911,90763800,70914,67548,10414,83811921,37431,91490923,13746,62107434,27443,124809789,10377,112355874,50995900
50750,202337,114251,22705,32247,48547,22878,18420,87488471,74789,69385,10458,84073131,109470,92209272,14374,62557238,28861,124874672,10639,112597212,51224792
51000,188802,120378,22918,30681,52710,17993,17193,88140912,71492,73883,10467,83612950,49087,94740270,14882,63519219,27238,124665522,10216,113428399,51814481
51250,178471,123574,22457,31957,47421,18999,17572,87978397,70249,70262,10745,84572565,47508,94503186,14785,65923877,28115,125437168,9960,112426742,51770634
51500,166426,134907,22372,32924,49212,17247,17234,90079127,71075,78719,10623,84552517,39371,95689296,14877,63767109,28931,127385078,10084,112920467,52825497
51750,181509,128711,22331,32252,41884,18618,18418,91177287,79293,75673,10673,88568921,39870,95572507,15413,64620457,32009,126794232,9874,112923175,52422487
52000,172309,124302,22623,33420,45453,17878,18660,97052858,84627,77613,10638,89688619,39593,100611399,14674,64359913,27877,128734224,11166,116351709,52898668
52250,173049,131415,22752,35000,41540,20073,17856,97085727,92927,72721,10459,88565136,38409,100706688,14045,65096302,30346,129340230,10416,116347043,52877130
52500,189127,135705,22745,36670,39007,16554,17997,93199411,87542,68137,10630,89069643,41534,100343859,14923,68820918,30207,131713850,10418,117003140,53160707
52750,178590,129729,22839,34993,51001,18881,18848,94123497,81835,62838,10886,90420485,39037,105421374,15751,65514538,32192,128156377,10084,116017578,54062828
53000,168085,137432,22868,36787,45819,16670,19711,94482283,100127,54798,10651,88996853,37180,104864062,17303,65602034,31750,128493815,9834,117290113,53563072
53250,176720,153249,22327,36376,49625,18043,18108,95728240,82918,52250,10468,91947737,37117,102899337,16163,66653272,31417,129717556,10338,120142058,54154236
53500,161181,158755,22668,34959,51048,18961,41382,101104473,85125,55718,10709,95741472,34201,105305587,16311,67049370,29869,131695632,10462,119702215,54188992
53750,167677,144968,22505,34618,49211,19246,17045,99432754,81398,51092,10842,95842920,36625,106729967,16117,67473958,31568,133977333,10210,119345816,54434864
54000,161302,141553,22628,34497,43542,17753,18625,102597270,80666,52420,10483,96497193,33476,106115359,14659,67649413,31499,131921766,9752,118882566,54611214
54250,159090,141139,22917,34869,45239,16993,18712,99221178,81243,65122,10712,96036225,36668,107859960,19088,68227568,40465,132511271,9914,120053260,54802876
54500,161874,146408,22678,33338,47581,15750,16882,99652734,77655,60495,10989,98275126,34647,108199209,13884,69057503,32912,133900714,10501,121191039,55181146
54750,160876,146874,22469,33787,53871,19212,17673,102878240,81204,59464,10916,111373915,35371,108562261,15308,74923988,32376,134842983,9828,121820808,55357442
55000,153121,148507,22676,34631,60485,21201,17038,107113777,81081,59928,10993,99379233,34460,111227629,15170,70067126,35251,138047688,9710,122427988,55681364
55250,162794,153845,22384,32835,54001,17447,17911,105781080,86915,60910,10789,100529105,38804,112410042,14414,73139075,31424,135560138,10333,122726665,55822413
55500,162553,160632,23089,35079,56993,21675,17236,102217351,81664,59777,10673,100527684,36202,114276392,14615,71056108,33158,134872627,10331,123568818,56132047
55750,162868,164212,23613,34509,58323,22251,18435,102504356,89889,57340,11247,104451131,34950,115132371,13416,72769656,33250,136021685,10582,125228854,56307520
56000,151805,161790,23327,33676,59758,16626,17172,104180139,78833,58746,10916,107622400,33476,116681540,14126,78001360,64790,138577684,10749,125612533,56675441
56250,168014,163667,23046,34877,66623,20248,17214,103670852,80342,61548,10427,103962000,32612,120675133,16214,72108341,41034,136841532,9922,126620927,56882725
56500,160873,169187,40759,33576,58300,16501,17122,117859240,82325,61114,10581,106173896,36984,118904313,14084,72333612,38411,138492686,9955,127665530,57221540
56750,153705,179251,23371,34161,57504,15412,18174,109966312,2694122,73974,10500,113139885,35249,122163577,14746,79059184,44510,138815077,10082,128097906,57445165
57000,154000,192834,23796,33250,57212,20546,17298,107666503,143622,58684,10257,116926031,33799,123596781,13334,74853925,37583,142324198,9953,128491214,57586536
57250,178240,186936,22872,32541,52664,16500,17386,107553168,112681,60714,10795,111181235,32208,129082760,13624,77857030,37074,139814024,10127,128657890,57988396
57500,151593,190378,23743,32877,59786,16379,17654,112739834,1665212,61766,10836,112705039,32877,124547770,14130,77293872,36950,142543202,10795,127072640,58161193
57750,169047,203754,24000,31550,60372,15533,17095,110451615,251475,54665,10418,112432577,34156,127852627,16202,76805194,36163,140744756,10415,127619709,58477362
58000,154463,220088,23123,36383,66413,19141,17253,116878221,121501,61820,10422,114452428,33835,127708959,15405,77055583,35019,143252415,9999,128441756,58610947
58250,158219,241267,23254,33717,58548,18954,17346,112486350,175263,66096,10374,115100150,35533,128495896,16633,78363200,34585,145527655,10088,132647320,59043373
58500,155886,2015017,23131,32201,54401,16831,18411,116834760,130254,69123,10491,117251009,32016,130904764,16201,78499532,33963,143018137,9964,132210301,59842191
58750,143746,315006,23391,34741,64880,16833,17481,123749081,142292,63632,10453,119764079,33585,130554827,14470,85344664,33913,143657545,10332,133309635,59781811
59000,149171,2046604,23870,36053,60262,20246,16834,114421283,112704,65091,10447,124558436,35016,133286996,15782,81255867,34594,144064037,11502,133998436,59763811
59250,137762,162254,23140,32010,57551,18998,17425,122838800,119246,59055,10414,121759551,34323,135088213,16158,82004181,43035,147838697,10580,135580843,60242698
59500,158012,157505,53460,31711,4859057,20749,17576,114765776,124661,57966,10581,124362091,30141,141425568,15568,81050898,31133,144265379,9704,134137853,60472706
59750,147932,161430,23500,33662,98303,19086,17784,115345220,105719,62195,10372,125771288,30834,138004440,16717,88920010,31912,145199275,9581,133545295,60699463
60000,143346,170701,23385,32260,80433,19661,18286,115740480,112750,61913,10531,127730673,30429,140900889,15112,86637528,32287,146064257,9668,134864196,60961177
60250,149208,166869,23665,45156,80960,20590,17412,117169934,117745,68005,10397,131645645,35369,140904556,16044,87451641,31992,150841483,9666,135114164,61305688
60500,149628,168124,23825,40892,77678,21338,18682,125623499,111291,55958,10716,132192857,32215,148241268,16175,90663687,34092,146775095,9830,140620933,61480188
60750,149382,166492,23828,38081,82337,16177,18283,121392014,108508,64256,10462,139635821,33803,148309820,15442,86112267,30864,148313680,9996,137125331,61754414
61000,159496,167046,23919,37290,69902,16205,18040,133781437,108202,63795,10458,144730522,34886,151784711,15613,85701502,30622,150039718,9247,136839911,62038961
61250,148713,172835,23798,36121,76199,16168,18343,142065837,100975,65883,10840,136831250,31325,151214610,15287,87282723,30920,153966827,10131,139098521,62921984
61500,141543,169209,23722,35872,79952,15870,19117,133271604,102911,61715,10701,138864508,33360,153134802,16142,85553996,31340,150992103,10337,141088111,63023098
61750,144542,186094,23711,34505,75436,14705,17806,134661220,104032,66494,10540,139771111,33848,158894958,14630,86384402,37362,150129396,10121,140057647,62810937
62000,156790,192206,25253,34252,75466,15257,17753,125389913,119878,60581,10545,141679428,33799,163536971,14461,88707627,31086,151671143,10582,140299122,63032739
62250,247812,184923,23419,33299,70372,14538,17522,124438852,105795,56912,10455,142955535,31428,155490573,14559,96936871,30751,154611904,10662,141568903,63318359
62500,214666,194677,23666,35180,67295,18509,17412,125785838,99960,62805,10419,145949104,31577,157998812,15085,89218235,30997,153499143,14332,143736702,63471624
62750,224726,191002,25338,32706,65786,20170,18836,135856968,103174,67085,10383,148044396,34464,160685898,14115,88774225,32416,152681252,10457,141148481,63840386
63000,194636,200048,23330,30997,53766,18417,17998,131961898,100134,69928,10996,146636826,34291,160143115,15494,88750800,33164,153289015,9999,142050995,64005299
63250,184372,196456,23297,32414,52573,21276,17366,127708604,109670,71089,10645,158988997,35259,163225173,15300,89994170,43080,155954052,10169,141771580,64399241
63500,189882,201675,23621,33636,52726,19004,17160,127785319,109336,68457,10363,152973664,32214,165640358,15096,92825015,38214,154993698,10418,144211722,64476738
63750,185860,346175,23792,31499,51737,19469,16536,128333795,123043,63710,10412,156145183,35586,166597986,16498,94963456,35836,155821718,9915,147347199,64828283
64000,179835,155135,23583,31876,52588,23415,17587,137755606,98506,72591,10432,155699791,32595,169044135,14423,91873893,36842,156481560,10375,144300753,65060004
64250,178710,169878,23500,31538,50692,22513,17593,133732617,101552,72679,10469,156957447,34004,174479269,15520,94930953,50502,163088462,9999,146959572,65370959
64500,186431,179057,24335,29457,53923,21077,17751,136201726,111842,78634,10663,167013333,34838,180401514,15039,97200923,44378,158741727,9793,147715630,65552934
64750,173043,184594,23050,30164,48416,19831,16187,135782294,103037,85292,11041,161850867,31748,186884000,15759,95820591,2264606,158152708,9836,149524971,65766774
65000,174762,177832,23209,30126,53244,17292,17366,143618487,112962,69006,10754,161573206,32962,189431106,15250,98606765,104538,161838591,9792,148079466,65997235
65250,183244,179475,23506,29949,64624,23552,19259,152176047,91879,74225,10709,167911354,33340,179826370,15257,99641958,86369,160356650,9994,148587644,66430453
65500,161966,199611,23292,30297,56505,18205,17198,152065091,106410,72580,10753,171299532,33874,181647009,16659,102172749,56475,160315525,9337,149406872,66521788
65750,179671,192394,23547,30245,103502,17666,18174,142291646,95132,65083,11049,169491770,33777,184704458,14359,95189155,1820490,161570350,9793,150694072,66802375
66000,179386,190419,23795,29120,104463,20965,17410,141695685,111366,66116,10457,186963826,33097,187023927,14771,95406092,56014,164267017,10128,150198224,67091308
66250,157206,216929,23583,28335,86840,16302,17128,138442915,94838,67925,10536,183075335,31622,188279873,15277,102827263,56375,163173503,9835,152925534,68003459
66500,174459,199921,22956,28376,76879,14290,17208,145370911,95829,80916,10644,176652533,36918,192543458,14053,101305421,52326,165117790,9333,151774393,68169467
66750,166885,218299,23067,30499,70735,14505,16917,140867862,98174,67456,10834,177770346,33960,190865660,15553,96427623,53795,164519309,9579,154372529,68112953
67000,150546,230091,23290,29591,105922,14454,18539,143876431,96750,72797,11069,179977659,33786,194476800,15681,103666409,47038,167993529,9757,151939055,68288211
67250,174380,367098,23120,29709,60502,15414,17813,143906817,93512,81585,11036,186587901,34500,195399665,15422,101456265,45836,166449375,9633,153646264,68360762
67500,161918,289922,23487,29719,51291,14962,17487,141788211,90993,66291,10660,191225491,33912,197003387,15477,97431020,78248,166219251,9920,153588767,68642637
67750,166882,169519,23379,30081,48460,18916,17170,143207328,97382,77381,11040,187796347,37745,199071233,14249,103010377,45755,168873840,9834,157222299,68918532
68000,189964,147791,23382,28796,49587,14539,16042,143154928,100003,79583,10654,188646716,31695,201682773,15184,105020487,56135,168120868,10037,155489807,70631028
68250,165550,159752,23451,29153,43865,17507,16432,150471262,97218,75799,10750,203691391,32380,204249683,14612,103306530,47468,166230248,9788,155892613,69717347
68500,186289,146129,23470,29031,46757,14333,17279,143841530,96888,68686,10811,195353610,32015,207771950,14179,103801906,43708,166916961,9335,159080138,69930350
68750,174925,154458,23676,28377,52942,14254,17113,144235007,96594,75502,10701,194873605,33966,207788040,14545,100873622,44624,171671218,9290,162171714,70153066
69000,169747,145628,23508,28123,110799,14988,16838,145180986,97404,85621,10673,206630487,36709,211099469,14963,101866611,44548,168342733,10208,158343784,70178847
69250,171335,134503,24490,31167,77878,16860,17490,154975761,94922,77161,10551,201942724,33533,222621647,14337,102313701,45949,170481354,9462,158594250,70384774
69500,180133,138769,24255,31230,82876,17067,16340,152022546,92964,72969,10752,210953276,34912,224858108,15176,107597271,46625,176203640,9708,161267977,71344967
69750,160629,134510,24168,28083,67009,18864,18780,150592882,90710,74463,10758,212527028,32619,222325127,14080,109297410,42630,172083834,9584,159155670,71132672
70000,156547,127128,24332,27577,70378,15485,18340,148499462,94583,73960,10956,207820390,32290,228427433,14876,108994033,42306,173482660,9294,160211777,71173675
70250,163699,131789,23708,27666,64006,15691,16959,158730489,92586,82260,10701,208547960,32900,223146828,15252,104925240,41805,173143384,9459,161198012,71488786
70500,173636,129987,23619,27716,50788,15874,17043,156219053,86340,80172,11386,220551753,61387,226326579,15832,105057456,48304,177629433,9418,162937418,71790526
70750,168130,145760,23714,27788,62298,15517,16565,152388812,91835,84754,11494,215442357,36409,234775043,14433,106493535,51860,174105753,9545,162421209,71972274
71000,162302,125661,23571,29255,52837,16363,17665,153081171,95425,76918,10906,215824204,36511,225648681,16457,106653834,49796,173162996,9458,164108871,72331563
71250,163295,138507,23360,28675,60639,16269,17420,166561429,94323,82460,10705,225441819,35751,239133253,15223,115103162,49452,175709603,9296,164677223,72703716
71500,182503,137919,23328,27092,56373,15625,17434,155320816,98461,80543,10915,224199842,34795,241368321,15417,107515935,45765,175073540,9629,168308353,72900138
71750,151294,142877,23253,27625,53166,14592,17841,154924639,96082,89010,10968,236391302,33836,244771497,15411,110714197,46133,177278588,9412,166750864,72998968
72000,170132,139545,23043,26822,53628,15873,16166,160969386,84544,77478,10880,231315203,34402,248755411,15641,112772634,46248,177079744,9709,166402999,73389993
72250,168251,143552,23211,27512,55262,14726,17625,159629861,86678,74538,10952,236755946,33690,235195974,15132,115573728,46501,180981359,9330,167841621,73791905
72500,158763,154574,23167,27506,49385,17214,18040,157816473,96251,69950,10777,230278250,36215,260565881,15070,112035081,44215,177152898,9376,168609016,74068212
72750,158345,152511,23295,27923,48755,17478,17235,162291725,95301,75205,10775,232012845,35290,236964028,14751,116099653,43709,181543365,9248,168742853,75045228
73000,168699,141338,23364,27963,50302,15957,17082,165241440,92253,87922,11054,234754047,33320,238188730,14607,113197452,63423,182956089,8832,170416771,74870276
73250,159792,143332,23624,27789,51185,16231,16889,159310183,82801,80920,10656,244504757,33914,252673205,15708,114561619,54430,178993315,9580,172063500,74820392
73500,189309,138761,23213,28165,45792,17279,16447,160987606,90295,73676,10547,240135410,35807,251466703,17158,119955652,1565314,179536536,9248,170256587,75098277
73750,166586,147337,23500,27581,52004,15615,17886,159874241,90129,72051,10788,256167603,36291,262834707,15071,116334993,99003,183477422,9375,170516015,75691804
74000,181676,137005,23304,28037,48915,16255,17585,168225571,93668,77044,11167,246696279,34904,252362987,15981,124289243,88756,182705170,9293,174649118,81114650
74250,172469,136001,23703,28213,58618,16072,17640,167328251,83595,76619,10826,259196927,37460,259328808,15005,118685283,73261,184271698,9250,173590797,76988958
74500,167791,149421,23455,26725,56252,16706,17050,168558653,85703,73261,10757,248897883,33329,274348756,14976,125573814,56036,184369772,9378,172767765,76303896
74750,155628,144014,23084,31379,56290,16810,16834,172636651,87640,86592,10912,250748195,34961,257813303,15974,121112939,48096,186362567,12333,173882659,76538237
75000,164124,153421,23955,27542,46897,15906,16917,169720449,90954,76288,11918,258960066,33725,269527390,15764,122625644,47517,184613750,9039,176558187,76833995
75250,164592,151840,23537,27999,54675,17492,17550,168294564,84590,81366,11375,255177199,35786,261835003,16622,130146622,44955,187027832,9460,175096025,77189333
75500,172879,142802,23378,28869,56325,16467,16568,167393750,79675,84173,10953,257371711,38030,279630374,15669,124823888,50668,190092093,9917,176852319,77500061
75750,172831,148162,23385,28885,44746,17743,17805,176835328,90545,78996,10867,269682209,37790,264535338,14639,125391851,42214,186248841,9672,179378258,77674355
76000,161211,149414,23427,28314,52507,16214,16975,185492558,96183,81380,10532,275296119,36330,283791788,15865,132565358,41623,187831913,9498,177840656,77886193
76250,172957,151843,23546,32123,48515,16412,16558,184912872,83413,80426,10585,269634788,35959,268758502,15026,131988791,42132,189101658,9710,179549836,78255949
76500,168703,141719,38499,27245,46580,16653,18009,182992205,88671,81333,10791,272587082,35212,289203393,14663,130775792,39827,187931103,9412,178118092,78353122
76750,157588,151752,23334,26998,53315,21032,17369,173771936,88083,82041,10657,273310853,35507,274989900,15640,129699480,37559,188594354,9377,182396778,78617258
77000,174473,140793,23377,27342,53824,19589,17755,170227205,89114,86904,10908,281721102,34446,272628616,14630,133678561,123955,192662667,9334,180221315,78887751
77250,160050,145936,23659,27211,44128,21458,17206,170724813,85589,88639,11165,291297832,37963,293246517,15025,137455791,64511,192489413,10163,181379168,79294356
77500,155710,144374,23339,28713,46428,21593,16754,179590398,93706,83396,10845,281221435,39505,281396126,15220,137619301,57754,192861472,9998,184008844,79427777
77750,151716,151791,23795,27040,47033,18515,17490,170790605,84756,80426,11004,282470411,34379,299742287,15735,133165705,55015,195201613,9082,183351295,79762289
78000,163335,158381,23554,28165,50213,23228,17794,171313120,89915,86215,11201,295668888,37577,282658627,15135,140273632,61614,192685953,9422,183086957,79978908
78250,174353,154034,23506,27420,49507,23033,18116,177813673,85232,83467,10631,303678951,35660,292226111,15303,137127316,55405,192497646,9253,184749345,80267179
78500,189379,169542,24786,27871,51754,26565,18435,171671132,86133,87117,11038,300877409,38119,285229446,14999,141541954,51681,192887420,9669,184728063,80555893
78750,181890,157084,25169,28084,48127,21653,15667,172199727,120456,90068,10674,295014066,37662,306032648,14331,145753624,50335,197160304,9666,184752682,80936560
79000,182119,155075,24752,28000,48546,23918,18333,185746275,112752,90159,10496,295941727,36376,294621517,14118,144531000,45203,193579566,9750,185622959,81137239
79250,174489,155601,24666,26965,53348,18412,17287,181373904,110079,93084,11002,299979223,39500,305312404,14720,143094951,48868,194354276,9462,185506160,81345165
79500,223174,151843,24623,27530,53512,22834,17090,176340765,99795,99921,10959,304714531,35924,301032494,14718,145962549,48120,198879605,8873,184871273,81694888
79750,241832,159004,24970,27675,58384,16673,17079,186164875,104668,107412,10543,306386702,38916,303635208,14192,153487693,52838,196005256,9370,187108790,81888174
80000,225850,153922,26335,26869,49785,20423,17774,199385169,98114,112293,10494,315963307,40337,305230833,14840,152217182,45798,196630900,9374,190291933,82402279
80250,221974,149206,24787,28044,42633,24805,17892,193616597,96869,166133,11083,317865613,38965,310835044,14219,148133520,46038,200592852,9249,189155535,82580076
80500,196459,155435,24919,30510,45505,29700,17622,186369766,104087,169705,10415,311708898,39743,306542245,15106,159440047,45588,197684029,9832,188376882,82574453
80750,205510,156264,24841,29906,46541,23345,18047,184093941,103803,76089,10534,332727179,40415,334742622,13737,150180878,43251,200447251,9418,189847867,82671404
81000,196790,164659,25419,27848,46792,18142,17860,177221420,96500,77133,10470,318725601,41080,308504728,14224,150942987,47569,202784964,9121,190279767,84798804
81250,210965,156376,25330,29617,44558,25793,17067,177845809,97553,80714,10453,342843972,43958,317194139,14671,152078617,43299,200960551,9292,190639057,83509470
81500,195494,151512,24241,26460,47038,21198,17121,184342712,90210,72879,10707,320889212,40667,315295788,14700,162178358,46029,201640863,9456,192239124,83889182
81750,193087,156507,24499,26498,51625,21764,17929,180476178,87360,73051,10531,325981406,45870,349344297,14076,152702694,49041,202979380,9751,190785880,84116246
82000,224869,158500,24714,27827,49200,22935,17832,180732860,119085,77432,10622,329558012,40794,344349861,13622,156739956,42326,202031527,9545,192256716,84302288
82250,210713,168912,25086,27136,44920,23239,18544,185724749,103305,72803,10703,333019110,46828,323745182,14379,158952564,41723,203694434,9168,195478743,84551874
82500,228663,160466,24708,25958,51123,22269,17751,186480472,96012,78083,10819,348727614,46297,331737410,13668,164341879,40577,207555057,9419,194332107,84889103
82750,228093,167001,25053,59161,46113,18097,19441,186434687,98129,77205,10798,349019548,48667,340991876,13791,166683948,43538,205742779,9421,196053876,85089883
83000,216542,165795,24712,30838,57393,23235,18088,189596778,104742,76043,11456,339386180,46139,330084973,14299,167638108,52611,205854670,9710,195972957,85355313
83250,267435,154847,24747,32371,47961,21270,16539,194230784,96660,74702,11635,346269426,42280,340323651,13704,159424617,42623,208686978,9415,196279848,85648360
83500,232225,165505,24630,30707,61222,27996,17538,185993839,114045,75510,11377,342174726,42364,338932275,13999,167586104,39828,205469875,9630,196076339,86003006
83750,304429,164496,24573,29789,42501,24629,16430,186876837,109795,81158,10753,343638804,41043,348532726,13953,169867221,39879,208619094,9333,197069110,86764192
84000,229430,173541,24545,29509,48763,27307,17929,193442099,116294,88172,10613,356604970,41285,325589382,14623,167197299,47667,207751433,9291,199219106,86431400
84250,221888,185088,25164,29833,42226,19536,18492,183422808,123802,85164,10458,362154754,44121,336809460,14674,172503339,46117,206944478,9507,199280678,86693430
84500,214788,156961,24956,29583,44419,18959,18872,188770386,100715,85972,10544,351240739,46323,331403320,14661,170919366,43476,209663577,9545,201250232,87064154
84750,200255,161326,25173,27548,42221,26406,18136,193776391,100267,92533,10630,349691115,43044,347955674,15462,171448137,41245,210292833,9333,197867192,87437417
85000,225375,166952,24719,27841,40995,22007,16381,186951788,95715,91322,10499,352477232,40216,349042327,13956,169630997,39279,209802024,9415,200398589,87667263
85250,228163,167257,25327,28006,45413,23048,18840,187453146,7432871,107882,10665,359322309,44463,354313195,14924,182784268,41744,212070353,9417,201556599,87865552
85500,231965,178602,25051,28093,48445,24025,17832,196935238,79666,163555,8824,360511096,45257,349435173,14374,180977721,46954,213666474,9955,200229156,88240036
85750,234499,172177,24369,27628,44123,23316,17798,192031398,82961,1940552,8881,367998693,46754,363260163,14412,175889348,43136,214841404,9044,201389921,88931391
86000,216883,163637,24704,31252,45664,24524,18418,190647275,84301,84654,9049,370154795,45793,365182638,13295,185868692,41692,214336951,9541,205196102,89131248
86250,213308,174371,24882,28871,41063,31453,19202,195767811,99134,92095,8494,364583425,43955,343473322,15290,181127427,49619,213520360,9543,201904855,91956460
86500,229834,174133,25164,27725,44592,22121,18451,192895306,82672,78508,9000,365529030,45634,375999370,13542,182164735,43753,213514926,9747,202770981,91437992
86750,224684,184533,24918,30581,51008,22504,20360,190195975,79582,78378,8813,377122623,43423,357358952,14653,186560084,48667,217868801,9704,206812378,90342427
87000,222997,189740,24701,28789,42634,21005,22002,190704293,74432,79540,8580,383213142,63078,356479659,13510,190632625,46796,217330120,9501,205358594,90462046
87250,232638,179456,25161,28371,48880,27159,71922,206793275,72168,81875,9248,374673033,59625,367610370,14537,188542909,45218,216547859,9165,206970575,90965845
87500,261006,177884,25012,27169,43413,23427,19154,192802209,73790,83296,9261,381495302,49947,355159626,14214,189247831,40666,220195039,9545,207764505,91155315
87750,247663,163598,24916,27790,49757,22574,18511,193325991,75296,78210,9034,383763167,45672,372667726,14507,194940625,40079,218088965,9249,206028464,91381937
88000,229178,171093,24909,28414,50929,19111,18860,199554923,94473,82920,8921,378829018,4684014,383265869,13999,191198563,47157,224233183,9376,207134656,91580898
88250,226814,178719,24002,26870,52547,17110,22200,195068495,78964,84039,8669,386175195,94470,385170376,13791,188826570,45077,217982259,9504,211124713,91910244
88500,211375,181472,25171,27202,44918,19174,22709,201549394,79840,83668,9242,386418864,67716,369473301,13864,196615199,44178,219009776,9373,210464358,92092409
88750,219720,206671,24464,27364,44456,24218,24283,197331263,82178,81542,9299,401753451,66218,361058013,14548,189891892,41553,225070053,9582,209476619,92546574
89000,213256,187427,24798,27957,41748,29003,20894,211691800,93716,78592,8743,399531255,62793,381672327,13910,195938991,48598,223422061,9586,212621183,92839854
89250,220176,164513,24919,28663,46964,19036,26663,199109739,84459,79496,8968,386430539,53732,375786243,14113,206297387,40419,221093148,9670,213479623,92955027
89500,207869,164429,24457,27662,44378,23276,24279,205082902,98882,80200,9166,399724844,57259,368230712,14663,196121533,50419,225107809,9247,213823092,93250627
89750,200093,161386,24763,26249,43605,28006,25292,197969587,84465,82919,9005,391753538,57132,382213601,14040,202925447,43306,220990229,9501,215573298,93544839
90000,209009,158342,24793,26887,51470,23777,30134,201249794,95261,85622,9093,392748527,58306,375332542,14663,207004349,45833,221959444,9416,212455882,93623679
90250,218297,187103,24796,26923,42504,26221,28631,204803781,97844,81128,8700,394717204,55964,393369473,14670,198864499,44997,225180590,9376,212728033,94046767
90500,198622,197965,24743,37737,43257,20461,23752,206353813,86296,79789,8914,406986347,55916,401419398,14289,205618071,45000,224182191,9583,214552921,94146617
90750,187089,165606,24583,35414,46211,23657,17800,204713280,92461,84884,9293,400701175,61004,388176718,16629,210466133,40752,226582122,9504,214866256,95773476
