Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
10500,102299,65577,20956,37731,46480,17456,19746,16604544,240386,26800,9170,14917297,35996,15915975,14266,14329887,41300,25147193,15422,13357980,10506189
10750,91306,61699,21710,37733,44841,19397,18505,16901052,51654,28119,9460,15146768,35312,16246860,13490,14718765,36589,25637704,9416,13689862,10743740
11000,83585,62496,22124,36134,46491,17957,21011,17275148,48426,27343,9378,15242973,34980,16182980,14741,14914529,41053,26212330,10711,14043828,11016956
11250,83232,62656,22247,41470,47364,19866,19785,17969282,52389,28295,9369,15490779,38496,16738205,14711,15190619,39619,27211558,11289,14334587,11257759
11500,83793,68081,21743,38036,42256,15590,23375,18342544,53501,28166,9359,16206501,36659,17350850,16385,15345939,39381,28022316,9583,14831892,11507716
11750,84753,61623,21622,39980,41358,17708,21180,18729396,50587,28627,9167,16559811,35355,17603315,14272,15649134,37040,28653198,9164,15407822,11802440
12000,2051352,65225,21671,35332,41945,17343,20820,19162690,77594,27463,9333,16951619,33765,17630741,15077,15608079,55579,28952630,9420,15996422,12012621
12250,173886,66963,21794,37468,42879,18900,21380,21883151,56845,28050,9427,17259661,35338,18012659,16128,15872384,38638,29216288,10080,16618317,12272233
12500,1757177,61548,21827,37302,40339,19336,20845,19882703,56033,27954,9496,17281744,36683,18325752,13995,16380981,32964,30041551,12210,17150993,12651331
12750,200219,61921,21583,36096,37786,16320,20353,20728036,50700,28567,9460,17489418,33523,18722600,13849,17103134,38539,30371228,10958,17758637,12801300
13000,198253,70090,21786,37725,45091,18339,22671,20996533,54253,29165,9663,17867878,34530,19059814,14117,16714674,33239,30967105,9582,18436818,13052427
13250,156629,64454,27715,35659,47028,16797,19813,21249167,56383,30880,9382,18187191,34209,19564708,14015,16945080,42549,31535780,10541,19165179,13269302
13500,135545,66381,22253,38128,42633,15672,23756,21417046,50717,28833,9544,18555399,34200,19717582,14362,17289671,32379,32211879,9495,19671606,13694149
13750,125547,66464,22126,36248,39616,16748,22437,21984733,49089,29054,9338,19948903,35715,20061054,13070,17724861,35962,34466824,9417,20350076,13817359
14000,116836,67920,23078,35140,43415,17743,20601,22328115,53464,27996,9629,19298640,34998,20427105,13963,17945073,43623,33654238,10669,20890171,14058619
14250,129795,68796,22329,33824,40282,17717,21768,23099889,50494,29680,8917,19982865,32485,20815951,14007,19451869,34338,35107002,9371,21524939,14439715
14500,120344,69124,22253,36410,41538,16350,22288,23182893,64295,31204,9334,19964438,35162,21204462,14008,18545509,40958,35402674,9495,22163544,14532341
14750,131010,67291,22458,37044,40168,17008,24557,23540615,53618,30377,9557,20220496,35114,21462598,14504,18950817,33841,35410592,10708,22754853,14965600
15000,120039,68961,22506,33914,41584,18125,30083,24270086,51796,29286,9043,20571833,42191,21807276,14592,19089477,36906,35888143,10044,23597492,15144813
15250,114306,93590,22374,34834,44486,16258,23709,24663100,53412,31375,9415,20833595,42400,22160074,13841,19083404,33296,36499099,9958,25462092,15323661
15500,108881,73675,22454,32791,38593,16822,23456,24879856,53473,29471,9518,21217779,37498,23008263,14043,19466100,39565,37321485,9669,24563272,15550667
15750,116883,74380,22083,34271,36574,16663,27698,24896649,53628,29894,9403,21564873,38835,22942185,15218,19718423,37621,38088166,10378,25182502,15850635
16000,119807,71532,23762,34882,45007,17325,24523,25317991,51460,32501,8873,21836625,38943,23342110,14622,20222269,36031,39070591,9921,25652348,16055263
16250,107001,74460,22922,34194,40797,17175,28303,25803291,56339,31452,8919,22698732,37628,23468155,14167,20494813,33719,39132974,9122,26239566,16338308
16500,120621,73002,22378,36500,41709,18376,28279,26067460,52891,32373,9251,23052155,36639,23808417,14585,20975155,487553,39593057,9328,26861244,17261243
